Frontend_File,Frontend_Function,HTTP_Method,Frontend_URL,Backend_File,Backend_Function,Backend_Route,Database_Tables,Stored_Procedures,Flow_Calls,Response_Model,Response_Fields,Nested_Fields,Table_Column_Details
announcements.ts,getAnnouncements,GET,/api/v2/announcements,announcements.py,list_announcements,/api/v2/announcements,DC_ANNOUNCEMENTS;ORGANIZATIONAL_HIERARCHY;DC_USER_TO_ANNOUNCEMENT;DC_ANNOUNCEMENT_LINK,,,list[V2AnnouncementRead],"id,title,subtitle,body,push_date,expiration_date,audience,links,is_dismissed_by_user",category.Returns,"DC_ANNOUNCEMENTS:[BODY,CATEGORY,EXPIRATION_DATE,ID,PRIORITY,PUSH_DATE,SUBTITLE,TITLE];ORGANIZATIONAL_HIERARCHY:[unknown];DC_USER_TO_ANNOUNCEMENT:[ANNOUNCEMENT_ID,IS_DISMISSED,USER_ID];DC_ANNOUNCEMENT_LINK:[ANNOUNCEMENT_ID,HREF,ID,NAME]"
announcements.ts,getAnnouncement,GET,/api/v2/announcements/{id},announcements.py,get_announcement,/api/v2/announcements/{announcement_id},DC_ANNOUNCEMENTS;DC_USER_TO_ANNOUNCEMENT;DC_ANNOUNCEMENT_LINK,,,V2AnnouncementRead,"id,title,subtitle,body,push_date,expiration_date,audience,links,is_dismissed_by_user",category.Returns,"DC_ANNOUNCEMENTS:[BODY,CATEGORY,EXPIRATION_DATE,ID,PRIORITY,PUSH_DATE,SUBTITLE,TITLE];DC_USER_TO_ANNOUNCEMENT:[ANNOUNCEMENT_ID,IS_DISMISSED,USER_ID];DC_ANNOUNCEMENT_LINK:[ANNOUNCEMENT_ID,HREF,ID,NAME]"
announcements.ts,createAnnouncement,POST,/api/v2/announcements,announcements.py,create_announcement,/api/v2/announcements,DC_ANNOUNCEMENTS;DC_USER_TO_ANNOUNCEMENT;DC_ANNOUNCEMENT_LINK,,,V2AnnouncementRead,"id,title,subtitle,body,push_date,expiration_date,audience,links,is_dismissed_by_user",category.Returns,"DC_ANNOUNCEMENTS:[BODY,CATEGORY,EXPIRATION_DATE,ID,PRIORITY,PUSH_DATE,SUBTITLE,TITLE];DC_USER_TO_ANNOUNCEMENT:[ANNOUNCEMENT_ID,IS_DISMISSED,USER_ID];DC_ANNOUNCEMENT_LINK:[ANNOUNCEMENT_ID,HREF,ID,NAME]"
announcements.ts,updateAnnouncement,PUT,/api/v2/announcements/{id},announcements.py,update_announcement,/api/v2/announcements/{announcement_id},DC_ANNOUNCEMENTS;DC_USER_TO_ANNOUNCEMENT;DC_ANNOUNCEMENT_LINK,,,V2AnnouncementRead,"id,title,subtitle,body,push_date,expiration_date,audience,links,is_dismissed_by_user",category.Returns,"DC_ANNOUNCEMENTS:[BODY,CATEGORY,EXPIRATION_DATE,ID,PRIORITY,PUSH_DATE,SUBTITLE,TITLE];DC_USER_TO_ANNOUNCEMENT:[ANNOUNCEMENT_ID,IS_DISMISSED,USER_ID];DC_ANNOUNCEMENT_LINK:[ANNOUNCEMENT_ID,HREF,ID,NAME]"
announcements.ts,deleteAnnouncement,DELETE,/api/v2/announcements/{id},announcements.py,delete_announcement,/api/v2/announcements/{announcement_id},DC_ANNOUNCEMENTS,,,None,,,"DC_ANNOUNCEMENTS:[BODY,CATEGORY,EXPIRATION_DATE,ID,PRIORITY,PUSH_DATE,SUBTITLE,TITLE]"
announcements.ts,dismissAnnouncement,PUT,/api/v2/announcements/{id}/status,announcements.py,update_announcement_status,/api/v2/announcements/{announcement_id}/status,DC_ANNOUNCEMENTS;DC_USER_TO_ANNOUNCEMENT;DC_ANNOUNCEMENT_LINK,,,V2AnnouncementRead,"id,title,subtitle,body,push_date,expiration_date,audience,links,is_dismissed_by_user",category.Returns,"DC_ANNOUNCEMENTS:[BODY,CATEGORY,EXPIRATION_DATE,ID,PRIORITY,PUSH_DATE,SUBTITLE,TITLE];DC_USER_TO_ANNOUNCEMENT:[ANNOUNCEMENT_ID,IS_DISMISSED,USER_ID];DC_ANNOUNCEMENT_LINK:[ANNOUNCEMENT_ID,HREF,ID,NAME]"
canvases.ts,getCanvases,GET,/api/v2/canvas/{engagement_id},canvas.py,get_engagement_canvas_data_v2,/api/v2/canvas/{dc_engagement_id},DC_USERS;DC_TAG_THOUGHTSPOT;DC_FILE_MANAGEMENT_LIVEBOARDS;DC_CAM_TO_ENGAGEMENT;DC_CANVAS_HDR,,,list[V2CanvasRead],"canvas_desc,canvas_id,canvas_name,create_dtm,current_snapshot_name,historical_snapshot_name,dc_engagement_id,pinboards,extract_actions,tag_actions,notification_id,enabled",,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_TAG_THOUGHTSPOT:[unknown];DC_FILE_MANAGEMENT_LIVEBOARDS:[CANVAS_ID,CANVAS_IMPORT_STATUS,DISPLAY_NAME,GUID,IS_DELETED,LIVEBOARD_ID,LIVEBOARD_NAME,LIVEBOARD_TYPE,LIVEBOARD_TYPE_VALUE,LOCATION];DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID];DC_CANVAS_HDR:[CANVAS_DESC,CANVAS_ID,CANVAS_NAME,CANVAS_STATUS,CANVAS_TYPE,CURRENT_SNAPSHOT_NAME,DC_ENGAGEMENT_ID,ENABLED,FILE_PATH,FILE_UPLOAD_STATUS,HISTORICAL_SNAPSHOT_NAME,NOTIFICATION_ID,ROWCOUNT,SOURCE_DATA_DATE_FILTER]"
canvases.ts,getDeletedCanvases,GET,/api/v2/canvas/1/deleted,canvas.py,get_deleted_canvas,/api/v2/canvas/1/deleted,DC_CANVAS_HDR,,,None,,,"DC_CANVAS_HDR:[CANVAS_DESC,CANVAS_ID,CANVAS_NAME,CANVAS_STATUS,CANVAS_TYPE,CURRENT_SNAPSHOT_NAME,DC_ENGAGEMENT_ID,ENABLED,FILE_PATH,FILE_UPLOAD_STATUS,HISTORICAL_SNAPSHOT_NAME,NOTIFICATION_ID,ROWCOUNT,SOURCE_DATA_DATE_FILTER]"
canvases.ts,undeleteCanvas,PUT,/api/v2/canvas/1/undelete/{canvas_id},canvas.py,undelete_canvas_v2,/api/v2/canvas/1/undelete/{canvas_id},DC_CANVAS_HDR,,,None,,,"DC_CANVAS_HDR:[CANVAS_DESC,CANVAS_ID,CANVAS_NAME,CANVAS_STATUS,CANVAS_TYPE,CURRENT_SNAPSHOT_NAME,DC_ENGAGEMENT_ID,ENABLED,FILE_PATH,FILE_UPLOAD_STATUS,HISTORICAL_SNAPSHOT_NAME,NOTIFICATION_ID,ROWCOUNT,SOURCE_DATA_DATE_FILTER]"
canvases.ts,createCanvas,POST,/api/v2/canvas,canvas.py,create_canvas,/api/v2/canvas,DC_CANVAS_HDR;DC_ENGAGEMENT_HDR;DC_CAM_TO_ENGAGEMENT,,create_canvas_flow,V2CanvasRead,"canvas_desc,canvas_id,canvas_name,create_dtm,current_snapshot_name,historical_snapshot_name,dc_engagement_id,pinboards,extract_actions,tag_actions,notification_id,enabled",,"DC_CANVAS_HDR:[CANVAS_DESC,CANVAS_ID,CANVAS_NAME,CANVAS_STATUS,CANVAS_TYPE,CURRENT_SNAPSHOT_NAME,DC_ENGAGEMENT_ID,ENABLED,FILE_PATH,FILE_UPLOAD_STATUS,HISTORICAL_SNAPSHOT_NAME,NOTIFICATION_ID,ROWCOUNT,SOURCE_DATA_DATE_FILTER];DC_ENGAGEMENT_HDR:[DC_ENGAGEMENT_ID,ENGAGEMENT_NAME,IS_CXEA,IS_SFC,IS_SOFTWARE,NOTES,SFC_AGREEMENT_TYPE];DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID]"
