SP_NAME,FILE_PATH,REPO_NAME
ADD_MESSAGES_TO_NOTIFICATION,prefect_repos/common-prefect/src/common_tasks/notifications/sp_logger.py,common-prefect
ADD_MESSAGES_TO_NOTIFICATION,prefect_repos/dc-ts-thoughtspot-v3/log_to_dc_job_messages.py,dc-ts-thoughtspot-v3
BULK_TAGGING,prefect_repos/common_prefect_next/src/common_prefect_next/logging/models/messages/enums.py,common_prefect_next
BULK_TAGGING,prefect_repos/tagging-flows/src/tagging_flows/bulk_tagging.py,tagging-flows
BULK_TAGGING,prefect_repos/tagging-flows/src/tagging_flows/common/models/enums.py,tagging-flows
BULK_TAGGING,prefect_repos/tagging-flows/src/tagging_flows/main.py,tagging-flows
BULK_TAGGING,prefect_repos/tagging-flows/tests/test_bulk_tagging_flow.py,tagging-flows
BULK_TAGGING_V2,prefect_repos/tagging-flows/src/tagging_flows/common/models/enums.py,tagging-flows
CREATE_TAGS_TABLE,prefect_repos/tagging-flows/src/tagging_flows/common/models/enums.py,tagging-flows
CREATE_TAGS_TABLE,prefect_repos/tagging-flows/src/tagging_flows/common/queries/stored_procedure.py,tagging-flows
GET_TAGGING_HISTORY,prefect_repos/dc-p1-tag-history/main.py,dc-p1-tag-history
GET_TAGGING_HISTORY_V2,prefect_repos/dc_tag_history_report/src/dc_tag_history_report/common/settings.py,dc_tag_history_report
MOVE_DAILY_COVERAGE_TABLES,prefect_repos/dc-snapshot-table-cleanup-flow/src/daily_table_snapshots/common/actions/schema_migration.py,dc-snapshot-table-cleanup-flow
SERIAL_RESOLUTION,prefect_repos/dc-evidence-collector/src/evidence_collector/common/serial_prediction.py,dc-evidence-collector
SERIAL_RESOLUTION,prefect_repos/dc-evidence-flows/src/evidence_flows/common/settings.py,dc-evidence-flows
SERIAL_RESOLUTION,prefect_repos/dc_p1_serial_tagging_sp/src/dc-p1-serial-tagging-sp/main.py,dc_p1_serial_tagging_sp
SERIAL_RESOLUTION,prefect_repos/macd-audit-flow/src/macd_audit/common/models/settings.py,macd-audit-flow
SERIAL_RESOLUTION,prefect_repos/tagging-flows/src/tagging_flows/common/models/settings.py,tagging-flows
SERIAL_RESOLUTION_V2,prefect_repos/common-serial-resolution/src/common_serial_resolution/queries/stored_procedure.py,common-serial-resolution
TAG_FROM_SERIAL_RESOLUTION,prefect_repos/dc_p1_serial_tagging_sp/src/dc-p1-serial-tagging-sp/main.py,dc_p1_serial_tagging_sp
TAG_INSTANCES,prefect_repos/dc-gu-p1-TagUpload/common/config.py,dc-gu-p1-TagUpload
TAG_INSTANCES,prefect_repos/tagging-flows/src/tagging_flows/common/models/enums.py,tagging-flows
TAG_INSTANCES,prefect_repos/tagging-flows/src/tagging_flows/instance_tagging.py,tagging-flows
TAG_INSTANCES_11,prefect_repos/dc-evidence-collector-flow/src/dc_evidence_collector_flow/common/sqls.py,dc-evidence-collector-flow
TAG_INSTANCES_11,prefect_repos/dc-evidence-collector-flow/src/dc_evidence_collector_flow/main.py,dc-evidence-collector-flow
TAG_INSTANCES_11,prefect_repos/dc-evidence-collector/src/evidence_collector/main.py,dc-evidence-collector
TAG_INSTANCES_11,prefect_repos/dc-gu-tag-upload/src/dc-gu-tag-upload/main.py,dc-gu-tag-upload
TAG_INSTANCES_V2,prefect_repos/common-serial-resolution/tests/test_resolve_step.py,common-serial-resolution
TAG_INSTANCES_V2,prefect_repos/tagging-flows/src/tagging_flows/common/models/enums.py,tagging-flows
UPDATEORGHIERARCHY_STAGE,prefect_repos/dc-p1-masked-worker/main.py,dc-p1-masked-worker
UPDATEORGHIERARCHY_STAGE,prefect_repos/dc-p2-masked-worker/main.py,dc-p2-masked-worker
UPDATEORGHIERARCHY_STAGE,prefect_repos/generate_masked_worker_flow/src/generate_masked_worker_flow/common/sqls.py,generate_masked_worker_flow
UPDATE_NOTIFICATION_STATUS,prefect_repos/common_prefect_next/src/common_prefect_next/blocks/data_canvas.py,common_prefect_next
UPDATE_NOTIFICATION_STATUS,prefect_repos/common_prefect_next/src/common_prefect_next/cli/register.py,common_prefect_next
UPDATE_NOTIFICATION_STATUS,prefect_repos/dc-ts-thoughtspot-v3/log_to_dc_job_messages.py,dc-ts-thoughtspot-v3
