SP_NAME,SP_SCHEMA,SP_LANGUAGE,TABLE_NAME,COLUMN_NAME,RELATIONSHIP_TYPES
BATCHUPDATEONEHIERARCHYVERSION,CPS_DSCI_API,SQL,CPS_DSCI_API.H_CURRENT,HIERARCHY_LEVEL,"USED_AS_UPDATE,USED_AS_FILTER"
BATCHUPDATEONEHIERARCHYVERSION,CPS_DSCI_API,SQL,CPS_DSCI_API.H_CURRENT,HIERARCHY_STRING,USED_AS_UPDATE
BATCHUPDATEONEHIERARCHYVERSION,CPS_DSCI_API,SQL,CPS_DSCI_API.H_CURRENT,HIERARCHY_VERSION,USED_AS_FILTER
BATCHUPDATEONEHIERARCHYVERSION,CPS_DSCI_API,SQL,CPS_DSCI_API.H_CURRENT,OBJECT_NUMBER,"USED_AS_UPDATE,USED_AS_JOIN"
BATCHUPDATEONEHIERARCHYVERSION,CPS_DSCI_API,SQL,CPS_DSCI_API.H_CURRENT,REPORTS_TO_OBJECT_NUMBER,"USED_AS_FILTER,USED_AS_JOIN,USED_AS_UPDATE"
BATCHUPDATEONEHIERARCHYVERSION,CPS_DSCI_API,SQL,CPS_DSCI_API.H_CURRENT,OBJECT_NUMBER,USED_AS_UPDATE
BATCHUPDATEONEHIERARCHYVERSION,CPS_DSCI_API,SQL,CPS_DSCI_API.H_CURRENT,*,USED_AS_SELECT
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,CPS_DSCI_ARCHIVE.DIM_DATE_NEW,DATE,"USED_AS_SELECT,USED_AS_FILTER"
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,CPS_DSCI_ARCHIVE.DIM_DATE_NEW,FISCAL_QTR_SORTED_NAME,"USED_AS_SELECT,USED_AS_GROUP_BY"
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,CPS_DSCI_ARCHIVE.DIM_DATE_NEW,FISCAL_YEAR_NUMBER,USED_AS_FILTER
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.TABLES,TABLE_NAME,"USED_AS_SELECT,USED_AS_FILTER"
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.TABLES,TABLE_SCHEMA,USED_AS_FILTER
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.COLUMNS,COLUMN_NAME,USED_AS_SELECT
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.COLUMNS,TABLE_SCHEMA,USED_AS_FILTER
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.COLUMNS,TABLE_NAME,USED_AS_FILTER
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.COLUMNS,ORDINAL_POSITION,USED_AS_ORDER_BY
CREATE_DC_QUARTER_END_METRICS_VIEW,CPS_DSCI_API,SQL,CPS_DSCI_BR.DC_QUARTER_END_METRICS,*,PROCEDURE_CREATES_TABLE
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,CPS_DSCI_ARCHIVE.DIM_DATE_NEW,DATE,"USED_AS_SELECT,USED_AS_FILTER"
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,CPS_DSCI_ARCHIVE.DIM_DATE_NEW,FISCAL_WEEK_SORTED_NAME,"USED_AS_SELECT,USED_AS_GROUP_BY"
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,CPS_DSCI_ARCHIVE.DIM_DATE_NEW,FISCAL_YEAR_NUMBER,USED_AS_FILTER
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.TABLES,TABLE_NAME,"USED_AS_SELECT,USED_AS_FILTER"
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.TABLES,TABLE_SCHEMA,USED_AS_FILTER
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.COLUMNS,COLUMN_NAME,USED_AS_SELECT
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.COLUMNS,TABLE_SCHEMA,USED_AS_FILTER
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.COLUMNS,TABLE_NAME,USED_AS_FILTER
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,INFORMATION_SCHEMA.COLUMNS,ORDINAL_POSITION,USED_AS_ORDER_BY
CREATE_DC_WEEK_END_METRICS_VIEW,CPS_DSCI_API,SQL,CPS_DSCI_BR.DC_WEEK_END_METRICS,*,PROCEDURE_CREATES_TABLE
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,*,PROCEDURE_CREATES_TABLE
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,FISCAL_PERIOD_ID,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,FISCAL_YEAR,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,FISCAL_QUARTER_ID,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,SALES_LEVEL_1,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,SALES_LEVEL_2,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,SALES_LEVEL_3,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,FINANCE_SUB_GROUP_OR_CONTRACT_TYPE,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,MKTG_PART_ID,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,FINANCE_BU_OR_SERVICE_CATEGORY,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,CONTRACT_NUMBER,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,TRANSACTION_NUMBER,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,TRANSACTION_TYPE,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,TRANSACTION_DATE,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,CONTRACT_START_DATE,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,CONTRACT_END_DATE,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,CONTRACT_TERM,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,TOTAL_AMOUNT,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,MD5_HASH,"USED_AS_MERGE,USED_AS_SELECT"
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,MD5_HASH,"USED_AS_INSERT,USED_AS_MERGE"
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,FISCAL_PERIOD_ID,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,FISCAL_YEAR,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,FISCAL_QUARTER_ID,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,SALES_LEVEL_1,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,SALES_LEVEL_2,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,SALES_LEVEL_3,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,FINANCE_SUB_GROUP_OR_CONTRACT_TYPE,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,MKTG_PART_ID,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,FINANCE_BU_OR_SERVICE_CATEGORY,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,CONTRACT_NUMBER,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,TRANSACTION_NUMBER,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,TRANSACTION_TYPE,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,TRANSACTION_DATE,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,CONTRACT_START_DATE,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,CONTRACT_END_DATE,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,CONTRACT_TERM,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,TOTAL_AMOUNT,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,CREATED_BY,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,CREATE_DTM,USED_AS_INSERT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,FISCAL_PERIOD_ID,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,FISCAL_QUARTER_ID,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,SALES_LEVEL_1,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,SALES_LEVEL_2,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,SALES_LEVEL_3,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,MKTG_PART_ID,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,CONTRACT_NUMBER,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,TRANSACTION_NUMBER,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,TRANSACTION_TYPE,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,TRANSACTION_DATE,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,CONTRACT_START_DATE,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,CONTRACT_END_DATE,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,CONTRACT_TERM,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,CPS_DSCI_STG.JSON_HTEC_REV,TOTAL_AMOUNT,USED_AS_SELECT
IMPORT_HTEC_REVENUE_2,CPS_DSCI_API,SQL,DC_REVENUE_HTEC,*,USES_TABLE
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_SUB_TASK_TO_ENAB_SOLD_AS,SOLD_AS_SERVICE_ID,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_SUB_TASK_TO_ENAB_SOLD_AS,SUB_TASK_ID,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_SUB_TASK_TO_ENAB_SOLD_AS,IS_DELETED,USED_AS_FILTER
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_SUB_TASK_TO_ENAB_PRICING,PRICING_MODEL_ID,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_SUB_TASK_TO_ENAB_PRICING,SUB_TASK_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_SUB_TASK_TO_ENAB_PRICING,IS_DELETED,USED_AS_FILTER
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_SUB_TASK_TO_ENAB_BUYING,BUYING_PROGRAM_ID,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_SUB_TASK_TO_ENAB_BUYING,SUB_TASK_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_SUB_TASK_TO_ENAB_BUYING,IS_DELETED,USED_AS_FILTER
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SOLD_AS_SERVICE_TYPES,SERVICE_TYPE_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SOLD_AS_SERVICE_TYPES,SOLD_AS_SERVICE_NAME,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_BUYING_PROGRAMS,BUYING_PROGRAM_TYPE_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_BUYING_PROGRAMS,BUYING_PROGRAM_NAME,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_PRICING_MODEL,PRICING_TYPE_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_PRICING_MODEL,PRICING_MODEL_NAME,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_B_TASK_SUB_TASK,SUB_TASK_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_B_TASK_SUB_TASK,IS_DELETED,USED_AS_FILTER
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_B_TASK_SUB_TASK,TASK_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_SUBTASK,SUB_TASK_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_SUBTASK,SUBTASK_DESC,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_SUBTASK,CYCLE_DAYS,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_TASK,TASK_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_TASK,TASK_DESC,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_TASK,ANCHOR_DATE_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_TASK,CYCLE_ITERATOR_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_TASK,DUE_DATE_OFFSET,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_B_TASK_TO_DELIVERABLE,TASK_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_B_TASK_TO_DELIVERABLE,IS_DELETED,USED_AS_FILTER
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_B_TASK_TO_DELIVERABLE,DELIVERABLE_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_DELIVERABLE,DELIVERABLE_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_DELIVERABLE,DELIVERABLE_DESC,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_ANCHOR_DATE_ITERATOR,ITERATOR_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_ANCHOR_DATE_ITERATOR,ITERATOR_DATE_NAME,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_ANCHOR_DATE,ANCHOR_DATE_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_SDP_TYP_ANCHOR_DATE,ANCHOR_DATE_NAME,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_BOOKINGS_CONTRACTS,BOOKING_CONTRACT,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_BOOKINGS_CONTRACTS,AGREEMENT_START_DATE,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_BOOKINGS_CONTRACTS,AGREEMENT_END_DATE,"USED_AS_SELECT,USED_AS_FILTER"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_BOOKINGS_CONTRACTS,SOLD_AS_PRICING_TYPE_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_BOOKINGS_CONTRACTS,BUYING_PROGRAM_TYPE_ID,"USED_AS_SELECT,USED_AS_JOIN,USED_AS_FILTER"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_BOOKINGS_CONTRACTS,SOLD_AS_SERVICE_TYPE_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_BOOKINGS_CONTRACTS,IS_DELETED,USED_AS_FILTER
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER,BOOKING_CONTRACT,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER,IS_DELETED,USED_AS_FILTER
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER,DC_ENGAGEMENT_ID,"USED_AS_SELECT,USED_AS_JOIN"
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_ENGAGEMENT_HDR,DC_ENGAGEMENT_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_ENGAGEMENT_HDR,ENGAGEMENT_NAME,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_CISCO_DELIVERABLES,PRICING_TYPE_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_CISCO_DELIVERABLES,BUYING_PROGRAM_TYPE_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_CISCO_DELIVERABLES,SERVICE_TYPE_ID,USED_AS_JOIN
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_CISCO_DELIVERABLES,SOLD_AS_BUYING_PROGRAM_NAME,USED_AS_SELECT
DC_SDP_CHANGES,CPS_DSCI_API,SQL,DC_CISCO_DELIVERABLES,SOLD_AS_SERVICE_NAME,USED_AS_SELECT
