primary_key,table_name,table_type,column_names,type,relationship_kind,primary_key_reference,schema_name,table_primary_key
1,ACCOUNT_HEALTH,BASE TABLE,MAPPED_TO_SERVICE,VARCHAR(1),COLUMN,N,CPS_DSCI_API,1
2,ACCOUNT_HEALTH,BASE TABLE,IS_PAST_LDOS,VARCHAR(1),COLUMN,N,CPS_DSCI_API,1
3,ACCOUNT_HEALTH,BASE TABLE,ACCOUNT_NAME,VARCHAR(1000),COLUMN,N,CPS_DSCI_API,1
4,ACCOUNT_HEALTH,BASE TABLE,BOOKING_CONTRACT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_API,1
5,ACCOUNT_HEALTH,BASE TABLE,DC_ENGAGEMENT_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_API,1
6,ACCOUNT_HEALTH,BASE TABLE,ENGAGEMENT_NAME,VARCHAR(5000),COLUMN,N,CPS_DSCI_API,1
7,ACCOUNT_HEALTH,BASE TABLE,SOLD_AS_SERVICE_NAME,VARCHAR(5000),COLUMN,N,CPS_DSCI_API,1
8,ACCOUNT_HEALTH,BASE TABLE,BUYING_PROGRAM_NAME,VARCHAR(5000),COLUMN,N,CPS_DSCI_API,1
9,ACCOUNT_HEALTH,BASE TABLE,BOOKING_THEATER_NAME,VARCHAR(5000),COLUMN,N,CPS_DSCI_API,1
10,ACCOUNT_HEALTH,BASE TABLE,PRICING_MODEL_NAME,VARCHAR(5000),COLUMN,N,CPS_DSCI_API,1
11,ACCOUNT_HEALTH,BASE TABLE,AGREEMENT_START_DATE,DATE,COLUMN,N,CPS_DSCI_API,1
12,ACCOUNT_HEALTH,BASE TABLE,AGREEMENT_END_DATE,DATE,COLUMN,N,CPS_DSCI_API,1
13,ACCOUNT_HEALTH,BASE TABLE,LAST_SIGNOFF_DATE,TIMESTAMP_NTZ(9),COLUMN,N,CPS_DSCI_API,1
14,ACCOUNT_HEALTH,BASE TABLE,QUALIFIED_IBV,VARCHAR(18),COLUMN,N,CPS_DSCI_API,1
15,ACCOUNT_HEALTH,BASE TABLE,DAYS_SINCE_LAST_SIGNOFF_EVENT,"NUMBER(9,0)",COLUMN,N,CPS_DSCI_API,1
16,ACCOUNT_HEALTH,BASE TABLE,CURRENT_CONTRACT,VARCHAR(11),COLUMN,N,CPS_DSCI_API,1
17,ACCOUNT_HEALTH,BASE TABLE,IS_MANAGED,VARCHAR(9),COLUMN,N,CPS_DSCI_API,1
18,ACCOUNT_HEALTH,BASE TABLE,COVERAGE_STATUS,VARCHAR(16777216),COLUMN,N,CPS_DSCI_API,1
19,ACCOUNT_HEALTH,BASE TABLE,LEVEL6_CISCO_WORKER_NAME,VARCHAR(360),COLUMN,N,CPS_DSCI_API,1
20,ACCOUNT_HEALTH,BASE TABLE,LEVEL7_CISCO_WORKER_NAME,VARCHAR(360),COLUMN,N,CPS_DSCI_API,1
21,ACCOUNT_HEALTH,BASE TABLE,LEVEL8_CISCO_WORKER_NAME,VARCHAR(360),COLUMN,N,CPS_DSCI_API,1
22,ACCOUNT_HEALTH,BASE TABLE,LEVEL9_CISCO_WORKER_NAME,VARCHAR(360),COLUMN,N,CPS_DSCI_API,1
23,ACCOUNT_HEALTH,BASE TABLE,EMP_NAME,VARCHAR(360),COLUMN,N,CPS_DSCI_API,1
24,ACCOUNT_HEALTH,BASE TABLE,MGR_NAME,VARCHAR(360),COLUMN,N,CPS_DSCI_API,1
25,ACCOUNT_HEALTH,BASE TABLE,EMP_CCO_ID_MASKED,VARCHAR(50),COLUMN,N,CPS_DSCI_API,1
26,ACCOUNT_HEALTH,BASE TABLE,USER_THEATER,VARCHAR(500),COLUMN,N,CPS_DSCI_API,1
27,ACCOUNT_HEALTH,BASE TABLE,ROLE,VARCHAR(5000),COLUMN,N,CPS_DSCI_API,1
