primary_key,table_name,table_type,column_names,type,relationship_kind,primary_key_reference,schema_name,view_primary_key
1,ALL_IB,VIEW,INSTANCE_ID,FLOAT,COLUMN,N,CPS_DSCI_BR,1
2,ALL_IB,VIEW,COVERED_STATUS,VARCHAR(1),COLUMN,N,CPS_DSCI_BR,1
3,ALL_IB,VIEW,COVERAGE_STATUS,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR,1
4,ALL_IB,VIEW,INSTALLED_AT_COUNTRY,VARCHAR(500),COLUMN,N,CPS_DSCI_BR,1
5,ALL_IB,VIEW,SERVICE_LIST_PRICE,FLOAT,COLUMN,N,CPS_DSCI_BR,1
6,ALL_IB,VIEW,PRODUCT_LIST_PRICE,FLOAT,COLUMN,N,CPS_DSCI_BR,1
7,ALL_IB,VIEW,GLOBAL_PRODUCT_LIST_PRICE,FLOAT,COLUMN,N,CPS_DSCI_BR,1
8,ALL_IB,VIEW,SERVICE_LIST_PRICE_X_QUANTITY,FLOAT,COLUMN,N,CPS_DSCI_BR,1
9,ALL_IB,VIEW,PRODUCT_LIST_PRICE_X_QUANTITY,FLOAT,COLUMN,N,CPS_DSCI_BR,1
10,ALL_IB,VIEW,PRODUCT_LIST_PRICE_GPL_US_X_QUANTITY,FLOAT,COLUMN,N,CPS_DSCI_BR,1
11,ALL_IB,VIEW,QUANTITY,FLOAT,COLUMN,N,CPS_DSCI_BR,1
12,ALL_IB,VIEW,PRODUCT_FAMILY,VARCHAR(40),COLUMN,N,CPS_DSCI_BR,1
13,ALL_IB,VIEW,DEVICE_LEVEL_REAL_PRODUCT_TYPE,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR,1
14,ALL_IB,VIEW,IB_PRODUCT_TYPE_RAW,VARCHAR(240),COLUMN,N,CPS_DSCI_BR,1
15,ALL_IB,VIEW,LAST_DATE_OF_SUPPORT,DATE,COLUMN,N,CPS_DSCI_BR,1
16,ALL_IB,VIEW,LAST_DATE_OF_RENEWAL,DATE,COLUMN,N,CPS_DSCI_BR,1
17,ALL_IB,VIEW,LAST_DATE_OF_SERVICE_ATTACH,DATE,COLUMN,N,CPS_DSCI_BR,1
18,ALL_IB,VIEW,MSS_STATUS,VARCHAR(60),COLUMN,N,CPS_DSCI_BR,1
19,ALL_IB,VIEW,LINEAGE_SERIAL_NUMBER,VARCHAR(240),COLUMN,N,CPS_DSCI_BR,1
20,ALL_IB,VIEW,MAPPED_TO_SERVICE_FLAG,VARCHAR(1),COLUMN,N,CPS_DSCI_BR,1
21,ALL_IB,VIEW,ITEM_STATUS_C3,VARCHAR(40),COLUMN,N,CPS_DSCI_BR,1
22,ALL_IB,VIEW,ITEM_STATUS_MFG,VARCHAR(240),COLUMN,N,CPS_DSCI_BR,1
23,ALL_IB,VIEW,PRODUCT_TYPE_RAW,VARCHAR(40),COLUMN,N,CPS_DSCI_BR,1
24,ALL_IB,VIEW,CATALOG_PRODUCT_TYPE,VARCHAR(240),COLUMN,N,CPS_DSCI_BR,1
25,ALL_IB,VIEW,PID_CATEGORY,VARCHAR(240),COLUMN,N,CPS_DSCI_BR,1
26,ALL_IB,VIEW,ITEM_NAME,VARCHAR(40),COLUMN,N,CPS_DSCI_BR,1
27,ALL_IB,VIEW,MONETIZATION_TYPE,VARCHAR(240),COLUMN,N,CPS_DSCI_BR,1
28,ALL_IB,VIEW,INSTANCE_STATUS_DESC,VARCHAR(240),COLUMN,N,CPS_DSCI_BR,1
29,ALL_IB,VIEW,CONFIG_TYPE,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR,1
30,ALL_IB,VIEW,ZERO_DOLLAR_SVC_FLAG,VARCHAR(18),COLUMN,N,CPS_DSCI_BR,1
31,ALL_IB,VIEW,IS_PARENT,VARCHAR(10),COLUMN,N,CPS_DSCI_BR,1
32,ALL_IB,VIEW,DEVICE_LEVEL_IS_LDOS_FLAG,VARCHAR(2),COLUMN,N,CPS_DSCI_BR,1
33,ALL_IB,VIEW,SERIALIZED_FLAG,VARCHAR(1),COLUMN,N,CPS_DSCI_BR,1
34,ALL_IB,VIEW,END_OF_CHANGE_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
35,ALL_IB,VIEW,END_OF_MANUFACTURING_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
36,ALL_IB,VIEW,END_OF_NEW_SVC_ATTACHMENT_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
37,ALL_IB,VIEW,END_OF_SOFTWARE_MAINTENANCE_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
38,ALL_IB,VIEW,END_OF_ROUTINE_FAIL_ANLYSYS_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
39,ALL_IB,VIEW,EOL_SOFTWARE_AVAILABLE_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
40,ALL_IB,VIEW,END_OF_SFTWR_LICENSE_AVAIL_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
41,ALL_IB,VIEW,EOL_SIGNATURE_RELEASE_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
42,ALL_IB,VIEW,END_OF_SVC_CONTRACT_RNWL_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
43,ALL_IB,VIEW,END_OF_TAC_ENGG_SUPPORT_DT,DATE,COLUMN,N,CPS_DSCI_BR,1
