primary_key,table_name,table_type,column_names,type,relationship_kind,primary_key_reference,schema_name
1,ALL_IB,VIEW,INSTANCE_ID,FLOAT,COLUMN,N,CPS_DSCI_BR
2,ALL_IB,VIEW,COVERED_STATUS,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
3,ALL_IB,VIEW,COVERAGE_STATUS,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR
4,ALL_IB,VIEW,INSTALLED_AT_COUNTRY,VARCHAR(500),COLUMN,N,CPS_DSCI_BR
5,ALL_IB,VIEW,SERVICE_LIST_PRICE,FLOAT,COLUMN,N,CPS_DSCI_BR
6,ALL_IB,VIEW,PRODUCT_LIST_PRICE,FLOAT,COLUMN,N,CPS_DSCI_BR
7,ALL_IB,VIEW,GLOBAL_PRODUCT_LIST_PRICE,FLOAT,COLUMN,N,CPS_DSCI_BR
8,ALL_IB,VIEW,SERVICE_LIST_PRICE_X_QUANTITY,FLOAT,COLUMN,N,CPS_DSCI_BR
9,ALL_IB,VIEW,PRODUCT_LIST_PRICE_X_QUANTITY,FLOAT,COLUMN,N,CPS_DSCI_BR
10,ALL_IB,VIEW,PRODUCT_LIST_PRICE_GPL_US_X_QUANTITY,FLOAT,COLUMN,N,CPS_DSCI_BR
11,ALL_IB,VIEW,QUANTITY,FLOAT,COLUMN,N,CPS_DSCI_BR
12,ALL_IB,VIEW,PRODUCT_FAMILY,VARCHAR(40),COLUMN,N,CPS_DSCI_BR
13,ALL_IB,VIEW,DEVICE_LEVEL_REAL_PRODUCT_TYPE,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR
14,ALL_IB,VIEW,IB_PRODUCT_TYPE_RAW,VARCHAR(240),COLUMN,N,CPS_DSCI_BR
15,ALL_IB,VIEW,LAST_DATE_OF_SUPPORT,DATE,COLUMN,N,CPS_DSCI_BR
16,ALL_IB,VIEW,LAST_DATE_OF_RENEWAL,DATE,COLUMN,N,CPS_DSCI_BR
17,ALL_IB,VIEW,LAST_DATE_OF_SERVICE_ATTACH,DATE,COLUMN,N,CPS_DSCI_BR
18,ALL_IB,VIEW,MSS_STATUS,VARCHAR(60),COLUMN,N,CPS_DSCI_BR
19,ALL_IB,VIEW,LINEAGE_SERIAL_NUMBER,VARCHAR(240),COLUMN,N,CPS_DSCI_BR
20,ALL_IB,VIEW,MAPPED_TO_SERVICE_FLAG,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
21,ALL_IB,VIEW,ITEM_STATUS_C3,VARCHAR(40),COLUMN,N,CPS_DSCI_BR
22,ALL_IB,VIEW,ITEM_STATUS_MFG,VARCHAR(240),COLUMN,N,CPS_DSCI_BR
23,ALL_IB,VIEW,PRODUCT_TYPE_RAW,VARCHAR(40),COLUMN,N,CPS_DSCI_BR
24,ALL_IB,VIEW,CATALOG_PRODUCT_TYPE,VARCHAR(240),COLUMN,N,CPS_DSCI_BR
25,ALL_IB,VIEW,PID_CATEGORY,VARCHAR(240),COLUMN,N,CPS_DSCI_BR
26,ALL_IB,VIEW,ITEM_NAME,VARCHAR(40),COLUMN,N,CPS_DSCI_BR
27,ALL_IB,VIEW,MONETIZATION_TYPE,VARCHAR(240),COLUMN,N,CPS_DSCI_BR
28,ALL_IB,VIEW,INSTANCE_STATUS_DESC,VARCHAR(240),COLUMN,N,CPS_DSCI_BR
29,ALL_IB,VIEW,CONFIG_TYPE,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR
30,ALL_IB,VIEW,ZERO_DOLLAR_SVC_FLAG,VARCHAR(18),COLUMN,N,CPS_DSCI_BR
31,ALL_IB,VIEW,IS_PARENT,VARCHAR(10),COLUMN,N,CPS_DSCI_BR
32,ALL_IB,VIEW,DEVICE_LEVEL_IS_LDOS_FLAG,VARCHAR(2),COLUMN,N,CPS_DSCI_BR
33,ALL_IB,VIEW,SERIALIZED_FLAG,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
34,ALL_IB,VIEW,END_OF_CHANGE_DT,DATE,COLUMN,N,CPS_DSCI_BR
35,ALL_IB,VIEW,END_OF_MANUFACTURING_DT,DATE,COLUMN,N,CPS_DSCI_BR
36,ALL_IB,VIEW,END_OF_NEW_SVC_ATTACHMENT_DT,DATE,COLUMN,N,CPS_DSCI_BR
