View_Name,View_Column,Column_Type,Source_Table,Source_Column,Expression_Type
TEST_SEA_RAW_FQ,SUBSCRIPTION_REF_ID,DIRECT,CPS_DSCI_BR.SEA_BOOKINGS,SUBSCRIPTION_REF_ID,
TEST_SEA_RAW_FQ,FISCAL_QUARTER_ID,DIRECT,CPS_DSCI_BR.SEA_BOOKINGS,FISCAL_QUARTER_ID,
TEST_SEA_RAW_FQ,ACV,DERIVED,CPS_DSCI_BR.SEA_BOOKINGS,ANNUAL_BOOKING_NET,SUM
TEST_SEA_RAW_FQ,CUMULATIVE_ACV,DERIVED,CPS_DSCI_BR.SEA_BOOKINGS,ANNUAL_BOOKING_NET; FISCAL_QUARTER_ID; SUBSCRIPTION_REF_ID,WINDOW
TEST_SEA_RAW_FQ,INITIAL_QUARTER_BOOKING_TOTAL,DERIVED,CPS_DSCI_BR.SEA_BOOKINGS,ANNUAL_BOOKING_NET; FISCAL_QUARTER_ID; SUBSCRIPTION_REF_ID,WINDOW
TEST_SEA_RAW,SUBSCRIPTION_REF_ID,DIRECT,CPS_DSCI_BR.SEA_BOOKINGS,SUBSCRIPTION_REF_ID,
TEST_SEA_RAW,FISCAL_WEEK_ID,DIRECT,CPS_DSCI_BR.SEA_BOOKINGS,FISCAL_WEEK_ID,
TEST_SEA_RAW,ACV,DERIVED,CPS_DSCI_BR.SEA_BOOKINGS,ANNUAL_BOOKING_NET,SUM
TEST_SEA_RAW,CUMULATIVE_ACV,DERIVED,CPS_DSCI_BR.SEA_BOOKINGS,ANNUAL_BOOKING_NET; FISCAL_WEEK_ID; SUBSCRIPTION_REF_ID,WINDOW
TEST_SEA_RAW,INITIAL_WEEK_BOOKING_TOTAL,DERIVED,CPS_DSCI_BR.SEA_BOOKINGS,ANNUAL_BOOKING_NET; FISCAL_WEEK_ID; SUBSCRIPTION_REF_ID,WINDOW
STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_FEATURE,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_FEATURE,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_FEATURE_UNIQUE_IDENTIFIER,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_FEATURE_UNIQUE_IDENTIFIER,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_USED_CONSUMPTION,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_USED_CONSUMPTION,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_CONSUMPTION_DATE,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_CONSUMPTION_DATE,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_CONSUMPTION_USER_EMAIL,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_CONSUMPTION_USER_EMAIL,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_SKU,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,LICENSE_SKU,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,SMART_ACCOUNT_ID,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,SMART_ACCOUNT_ID,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,SMART_ACCOUNT_NAME,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,SMART_ACCOUNT_NAME,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,SMART_ACCOUNT_DOMAIN_NAME,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,SMART_ACCOUNT_DOMAIN_NAME,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,DEVICE_IDENTIFIERS,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,DEVICE_IDENTIFIERS,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,HOST_ID,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,HOST_ID,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,UDI_PID,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,UDI_PID,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,SUVI,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,SUVI,
STG_CPS_LICENSE_CONSUMPTIONS_CSD,HOST_NAME,DIRECT,CPS_DB.CPS_DSCI_STG.STG_CPS_LICENSE_CONSUMPTIONS_CSD,HOST_NAME,
